4.0	34.91	0.13	46.04	22.0	231.28	231.28	259.69
5.0	49.78	0.17	65.49	22.0	231.28	231.28	259.69
6.0	65.43	0.24	79.21	22.0	231.28	231.28	259.69
7.0	81.82	0.29	94.06	22.0	231.28	231.28	259.69
8.0	98.06	0.35	126.98	22.0	231.28	231.28	259.69
9.0	115.48	0.44	132.85	22.0	231.28	231.28	259.69
10.0	133.14	0.51	147.94	22.0	231.28	231.28	259.69
11.0	151.03	0.59	166.57	22.0	231.28	231.28	259.69
12.0	168.03	0.68	182.82	22.0	231.28	231.28	259.69
13.0	184.47	0.75	215.76	22.0	231.28	231.28	259.69
14.0	198.72	0.81	219.25	22.0	231.28	231.28	259.69
15.0	211.49	0.86	224.8	22.0	231.28	231.28	259.69
16.0	220.49	0.9	234.08	22.0	231.28	231.28	259.69
17.0	227.23	0.93	241.42	22.0	231.28	231.28	259.69
18.0	231.28	0.94	245.64	22.0	231.28	231.28	259.69
19.0	231.28	0.96	249.16	22.0	231.28	231.28	259.69
20.0	231.28	0.97	251.62	22.0	231.28	231.28	259.69
21.0	231.28	0.98	255.62	22.0	231.28	231.28	259.69
22.0	231.28	1.0	259.69	22.0	231.28	231.28	259.69
